year,class,bin_low,bin_high,n,mean_pred,obs_freq
2026,home_win,0.0,0.1,0,,
2026,home_win,0.1,0.2,8,0.16877993254573015,0.0
2026,home_win,0.2,0.3,23,0.25558665492936206,0.21739130434782608
2026,home_win,0.3,0.4,20,0.34621083039040706,0.35
2026,home_win,0.4,0.5,20,0.4322259652408588,0.65
2026,home_win,0.5,0.6,22,0.5487644571686823,0.7727272727272727
2026,home_win,0.6,0.7,10,0.6433688119997258,0.8
2026,home_win,0.7,0.8,1,0.708743108292299,0.0
2026,home_win,0.8,0.9,0,,
2026,home_win,0.9,1.0,0,,
2026,draw,0.0,0.1,0,,
2026,draw,0.1,0.2,3,0.19049861879008434,0.3333333333333333
2026,draw,0.2,0.3,81,0.2640001794230271,0.19753086419753085
2026,draw,0.3,0.4,20,0.317638482808674,0.35
2026,draw,0.4,0.5,0,,
2026,draw,0.5,0.6,0,,
2026,draw,0.6,0.7,0,,
2026,draw,0.7,0.8,0,,
2026,draw,0.8,0.9,0,,
2026,draw,0.9,1.0,0,,
2026,away_win,0.0,0.1,2,0.09539326866541806,0.0
2026,away_win,0.1,0.2,23,0.1607375937016447,0.0
2026,away_win,0.2,0.3,24,0.25356499652917225,0.08333333333333333
2026,away_win,0.3,0.4,22,0.3503043761794423,0.18181818181818182
2026,away_win,0.4,0.5,21,0.44438899229475787,0.6190476190476191
2026,away_win,0.5,0.6,10,0.5386200650938028,0.9
2026,away_win,0.6,0.7,2,0.6403126787897705,1.0
2026,away_win,0.7,0.8,0,,
2026,away_win,0.8,0.9,0,,
2026,away_win,0.9,1.0,0,,
