date,home_team,away_team,home_team_canon,away_team_canon,home_score,away_score,tournament,competition_category,tournament_tier,tournament_weight,is_competitive,is_fifa,city,country,neutral
1894-03-12,Wales,England,Wales,England,1,5,British Home Championship,minor_tournament,5,0.2,False,True,Wrexham,Wales,False
1894-03-24,Scotland,Wales,Scotland,Wales,5,2,British Home Championship,minor_tournament,5,0.2,False,True,Kilmarnock,Scotland,False
1894-03-31,Northern Ireland,Scotland,Northern Ireland,Scotland,1,2,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1894-04-07,Scotland,England,Scotland,England,2,2,British Home Championship,minor_tournament,5,0.2,False,True,Glasgow,Scotland,False
1895-03-09,England,Northern Ireland,England,Northern Ireland,9,0,British Home Championship,minor_tournament,5,0.2,False,True,Derby,England,False
1895-03-16,Northern Ireland,Wales,Northern Ireland,Wales,2,2,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1895-03-18,England,Wales,England,Wales,1,1,British Home Championship,minor_tournament,5,0.2,False,True,London,England,False
1895-03-23,Wales,Scotland,Wales,Scotland,2,2,British Home Championship,minor_tournament,5,0.2,False,True,Wrexham,Wales,False
1895-03-30,Scotland,Northern Ireland,Scotland,Northern Ireland,3,1,British Home Championship,minor_tournament,5,0.2,False,True,Glasgow,Scotland,False
1895-04-06,England,Scotland,England,Scotland,3,0,British Home Championship,minor_tournament,5,0.2,False,True,Liverpool,England,False
1896-02-29,Wales,Northern Ireland,Wales,Northern Ireland,6,1,British Home Championship,minor_tournament,5,0.2,False,True,Wrexham,Wales,False
1896-03-07,Northern Ireland,England,Northern Ireland,England,0,2,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1896-03-16,Wales,England,Wales,England,1,9,British Home Championship,minor_tournament,5,0.2,False,True,Cardiff,Wales,False
1896-03-21,Scotland,Wales,Scotland,Wales,4,0,British Home Championship,minor_tournament,5,0.2,False,True,Dundee,Scotland,False
1896-03-28,Northern Ireland,Scotland,Northern Ireland,Scotland,3,3,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1896-04-04,Scotland,England,Scotland,England,2,1,British Home Championship,minor_tournament,5,0.2,False,True,Glasgow,Scotland,False
1897-02-20,England,Northern Ireland,England,Northern Ireland,6,0,British Home Championship,minor_tournament,5,0.2,False,True,Nottingham,England,False
1897-03-06,Northern Ireland,Wales,Northern Ireland,Wales,4,3,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1897-03-20,Wales,Scotland,Wales,Scotland,2,2,British Home Championship,minor_tournament,5,0.2,False,True,Wrexham,Wales,False
1897-03-27,Scotland,Northern Ireland,Scotland,Northern Ireland,5,1,British Home Championship,minor_tournament,5,0.2,False,True,Glasgow,Scotland,False
1897-03-29,England,Wales,England,Wales,4,0,British Home Championship,minor_tournament,5,0.2,False,True,Sheffield,England,False
1897-04-03,England,Scotland,England,Scotland,1,2,British Home Championship,minor_tournament,5,0.2,False,True,London,England,False
1898-02-19,Wales,Northern Ireland,Wales,Northern Ireland,0,1,British Home Championship,minor_tournament,5,0.2,False,True,Llandudno,Wales,False
1898-03-05,Northern Ireland,England,Northern Ireland,England,2,3,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1898-03-19,Scotland,Wales,Scotland,Wales,5,2,British Home Championship,minor_tournament,5,0.2,False,True,Motherwell,Scotland,False
1898-03-26,Northern Ireland,Scotland,Northern Ireland,Scotland,0,3,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1898-03-28,Wales,England,Wales,England,0,3,British Home Championship,minor_tournament,5,0.2,False,True,Wrexham,Wales,False
1898-04-02,Scotland,England,Scotland,England,1,3,British Home Championship,minor_tournament,5,0.2,False,True,Glasgow,Scotland,False
1899-02-18,England,Northern Ireland,England,Northern Ireland,13,2,British Home Championship,minor_tournament,5,0.2,False,True,Sunderland,England,False
1899-03-04,Northern Ireland,Wales,Northern Ireland,Wales,1,0,British Home Championship,minor_tournament,5,0.2,False,True,Belfast,Ireland,False
1899-03-18,Wales,Scotland,Wales,Scotland,0,6,British Home Championship,minor_tournament,5,0.2,False,True,Wrexham,Wales,False
1899-03-20,England,Wales,England,Wales,4,0,British Home Championship,minor_tournament,5,0.2,False,True,Bristol,England,False
1899-03-25,Scotland,Northern Ireland,Scotland,Northern Ireland,9,1,British Home Championship,minor_tournament,5,0.2,False,True,Glasgow,Scotland,False
1899-04-08,England,Scotland,England,Scotland,2,1,British Home Championship,minor_tournament,5,0.2,False,True,Birmingham,England,False
1900-02-03,Scotland,Wales,Scotland,Wales,5,2,British Home Championship,minor_tournament,5,0.2,False,True,Aberdeen,Scotland,False
