edition_date,periodId,team,team_source,rank,points,confederation
2026-04-01,20260401,Poland,Poland,35,1528,
2026-04-01,20260401,Russia,Russia,36,1526,
2026-04-01,20260401,Wales,Wales,37,1524,
2026-04-01,20260401,Sweden,Sweden,38,1515,UEFA
2026-04-01,20260401,Serbia,Serbia,39,1509,
2026-04-01,20260401,Paraguay,Paraguay,40,1504,CONMEBOL
2026-04-01,20260401,Czech Republic,Czechia,41,1501,UEFA
2026-04-01,20260401,Hungary,Hungary,42,1501,
2026-04-01,20260401,Scotland,Scotland,43,1498,UEFA
2026-04-01,20260401,Tunisia,Tunisia,44,1483,CAF
2026-04-01,20260401,Cameroon,Cameroon,45,1481,
2026-04-01,20260401,DR Congo,DR Congo,46,1478,CAF
2026-04-01,20260401,Greece,Greece,47,1476,
2026-04-01,20260401,Slovakia,Slovakia,48,1474,
2026-04-01,20260401,Venezuela,Venezuela,49,1468,
2026-04-01,20260401,Uzbekistan,Uzbekistan,50,1465,AFC
2026-04-01,20260401,Costa Rica,Costa Rica,51,1460,
2026-04-01,20260401,Mali,Mali,52,1459,
2026-04-01,20260401,Peru,Peru,53,1456,
2026-04-01,20260401,Chile,Chile,54,1455,
2026-04-01,20260401,Qatar,Qatar,55,1455,AFC
2026-04-01,20260401,Romania,Romania,56,1451,
2026-04-01,20260401,Iraq,Iraq,57,1447,AFC
2026-04-01,20260401,Slovenia,Slovenia,58,1446,
2026-04-01,20260401,Ireland,Ireland,59,1437,
2026-04-01,20260401,South Africa,South Africa,60,1430,CAF
2026-04-01,20260401,Saudi Arabia,Saudi Arabia,61,1421,AFC
2026-04-01,20260401,Burkina Faso,Burkina Faso,62,1412,
2026-04-01,20260401,Jordan,Jordan,63,1391,AFC
2026-04-01,20260401,Albania,Albania,64,1388,
2026-04-01,20260401,Bosnia and Herzegovina,Bosnia and Herzegovina,65,1386,UEFA
2026-04-01,20260401,Honduras,Honduras,66,1380,
2026-04-01,20260401,North Macedonia,North Macedonia,67,1372,
2026-04-01,20260401,UAE,UAE,68,1370,
2026-04-01,20260401,Cape Verde,Cape Verde,69,1366,CAF
2026-04-01,20260401,Northern Ireland,Northern Ireland,70,1362,
2026-04-01,20260401,Jamaica,Jamaica,71,1358,
2026-04-01,20260401,Georgia,Georgia,72,1350,
2026-04-01,20260401,Finland,Finland,73,1346,
2026-04-01,20260401,Ghana,Ghana,74,1346,CAF
2026-04-01,20260401,Iceland,Iceland,75,1345,
2026-04-01,20260401,Bolivia,Bolivia,76,1329,
2026-04-01,20260401,Israel,Israel,77,1328,
2026-04-01,20260401,Kosovo,Kosovo,78,1319,
2026-04-01,20260401,Oman,Oman,79,1313,
2026-04-01,20260401,Guinea,Guinea,80,1300,
2026-04-01,20260401,Montenegro,Montenegro,81,1296,
2026-04-01,20260401,Curaçao,Curacao,82,1295,CONCACAF
2026-04-01,20260401,Haiti,Haiti,83,1292,CONCACAF
2026-04-01,20260401,Syria,Syria,84,1289,
2026-04-01,20260401,New Zealand,New Zealand,85,1282,OFC
2026-04-01,20260401,Bulgaria,Bulgaria,86,1279,
2026-04-01,20260401,Gabon,Gabon,87,1273,
2026-04-01,20260401,Uganda,Uganda,88,1264,
2026-04-01,20260401,Angola,Angola,89,1263,
2026-04-01,20260401,Benin,Benin,90,1259,
2026-04-01,20260401,Bahrain,Bahrain,91,1259,
2026-04-01,20260401,Zambia,Zambia,92,1256,
2026-04-01,20260401,Thailand,Thailand,93,1252,
2026-04-01,20260401,China,China,94,1252,
2026-04-01,20260401,Palestine,Palestine,95,1245,
2026-04-01,20260401,Guatemala,Guatemala,96,1243,
2026-04-01,20260401,Belarus,Belarus,97,1236,
2026-04-01,20260401,Luxembourg,Luxembourg,98,1228,
2026-04-01,20260401,Vietnam,Vietnam,99,1226,
2026-04-01,20260401,El Salvador,El Salvador,100,1225,
2026-04-01,20260401,Mozambique,Mozambique,101,1224,
2026-04-01,20260401,Trinidad and Tobago,Trinidad and Tobago,102,1223,
